datePart,prodNamePart,prodCode,prodName,managerName,sourceDir,targetDir
20200102,【国杰宇石私募证券投资基金】20191231开放估值材料,SEW194,国杰宇石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰宇石私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SEW194_国杰宇石私募证券投资基金
20200102,【恒天浙商金惠3号】20191231开放估值材料,S28866,恒天稳增浙商金惠3号证券投资基金,恒天中岩投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【恒天浙商金惠3号】20191231开放估值材料,Z:\19_外包估值（新）\恒天中岩投资管理有限公司\S28866_恒天稳增浙商金惠3号证券投资基金
20200102,【弘酬臻选MOM2号东北证券私募投资基金】20191231开放估值材料,SCL327,弘酬臻选MOM2号东北证券私募投资基金,北京弘酬投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【弘酬臻选MOM2号东北证券私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\北京弘酬投资管理有限公司\SCL327_弘酬臻选MOM2号东北证券私募投资基金
20200102,【狐尾松曼施坦因私募证券投资基金】20191231开放估值材料,SGD923,狐尾松曼施坦因私募证券投资基金,广东狐尾松资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【狐尾松曼施坦因私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广东狐尾松资产管理有限公司\SGD923_狐尾松曼施坦因私募证券投资基金
20200102,【辉毅5号】20191231开放估值材料,SM4453,辉毅5号,上海申毅投资股份有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【辉毅5号】20191231开放估值材料,Z:\19_外包估值（新）\上海申毅投资股份有限公司\SM4453_辉毅5号
20200102,【辉毅9号】20191231开放估值材料.pdf,SM4461,辉毅9号,上海申毅投资股份有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【辉毅9号】20191231开放估值材料.pdf,Z:\19_外包估值（新）\上海申毅投资股份有限公司\SM4461_辉毅9号
20200102,【金涌稳固精选1号私募证券投资基金】20191231开放估值材料,SJC644,金涌稳固精选1号私募证券投资基金,弘毅金涌资产管理（深圳）有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【金涌稳固精选1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\弘毅金涌资产管理（深圳）有限公司\SJC644_金涌稳固精选1号私募证券投资基金
20200102,【金舆全球精选私募证券投资基金】20191231开放估值材料,SS5795,金舆全球精选私募证券投资基金,上海金舆资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【金舆全球精选私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海金舆资产管理有限公司\SS5795_金舆全球精选私募证券投资基金
20200102,【进化论希瓦菁英荟萃私募基金】20191231开放估值材料,SY0005,进化论希瓦菁英荟私募基金,深圳市前海进化论资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【进化论希瓦菁英荟萃私募基金】20191231开放估值材料,Z:\19_外包估值（新）\深圳市前海进化论资产管理有限公司\SY0005_进化论希瓦菁英荟私募基金
20200102,【进化论希瓦菁英荟私募基金】20191231开放估值材料,SY0005,进化论希瓦菁英荟私募基金,深圳市前海进化论资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【进化论希瓦菁英荟私募基金】20191231开放估值材料,Z:\19_外包估值（新）\深圳市前海进化论资产管理有限公司\SY0005_进化论希瓦菁英荟私募基金
20200102,【钜融丰和10号私募证券投资基】20191231开放估值材料,SEZ093,钜融丰和10号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融丰和10号私募证券投资基】20191231开放估值材料,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SEZ093_钜融丰和10号私募证券投资基金
20200102,【钜融丰和11号私募证券投资基金】20191231开放估值材料,SEY657,钜融丰和11号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融丰和11号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SEY657_钜融丰和11号私募证券投资基金
20200102,【钜融丰和12号私募证券投资基金】20191231开放估值材料,SEZ474,钜融丰和12号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融丰和12号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SEZ474_钜融丰和12号私募证券投资基金
20200102,【钜融丰和19号私募证券投资基金】20191231开放估值材料.pdf,SGE335,钜融丰和19号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融丰和19号私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SGE335_钜融丰和19号私募证券投资基金
20200102,【钜融丰和21号私募证券投资基金】20191231开放估值材料.pdf,SGN828,钜融丰和21号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融丰和21号私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SGN828_钜融丰和21号私募证券投资基金
20200102,【钜融全债丰和8号私募投资基金】20191231开放估值材料,SEV619,钜融丰和8号私募证券投资基金,中海外钜融资产管理集团有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【钜融全债丰和8号私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\中海外钜融资产管理集团有限公司\SEV619_钜融丰和8号私募证券投资基金
20200102,【聚鸣医药创新2号私募证券投资基金】20191231开放估值材料,SGW113,聚鸣医药创新2号私募证券投资基金,上海聚鸣投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【聚鸣医药创新2号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海聚鸣投资管理有限公司\SGW113_聚鸣医药创新2号私募证券投资基金
20200102,【君之健君悦证券投资基金】20191231开放估值材料,SE9326,君之健君悦证券投资基金,广东君之健投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【君之健君悦证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广东君之健投资管理有限公司\SE9326_君之健君悦证券投资基金
20200102,【骏泽平衡5号私募证券投资基】20191231开放估值材料,SGU721,骏泽平衡5号私募证券投资基金,广州市骏泽投资有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【骏泽平衡5号私募证券投资基】20191231开放估值材料,Z:\19_外包估值（新）\广州市骏泽投资有限公司\SGU721_骏泽平衡5号私募证券投资基金
20200102,【珺锋量化二号】20191231开放估值材料,SCY441,珺锋量化二号私募证券投资基金,上海珺容投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【珺锋量化二号】20191231开放估值材料,Z:\19_外包估值（新）\上海珺容投资管理有限公司\SCY441_珺锋量化二号私募证券投资基金
20200102,【珺牛量子青晟财富1号基金】20191231开放估值材料,SJ0245,珺牛量子青晟财富1号基金,上海珺容资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【珺牛量子青晟财富1号基金】20191231开放估值材料,Z:\19_外包估值（新）\上海珺容资产管理有限公司\SJ0245_珺牛量子青晟财富1号基金
20200102,【珺容五期】20191231开放估值材料,S29539,珺容五期证券投资基金,上海珺容投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【珺容五期】20191231开放估值材料,Z:\19_外包估值（新）\上海珺容投资管理有限公司\S29539_珺容五期证券投资基金
20200102,【拉曼诚至金开7号】20191231开放估值材料,SGD658,拉曼诚至金开7号证券私募投资基金,上海拉曼资产管理中心(有限合伙),Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【拉曼诚至金开7号】20191231开放估值材料,Z:\19_外包估值（新）\上海拉曼资产管理中心(有限合伙)\SGD658_拉曼诚至金开7号证券私募投资基金
20200102,【雷根汇智增长基金】20191231开放估值材料,SJ0986,雷根汇智增长基金,上海雷根资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【雷根汇智增长基金】20191231开放估值材料,Z:\19_外包估值（新）\上海雷根资产管理有限公司\SJ0986_雷根汇智增长基金
20200102,【理成定向18号投资基金】20191231开放估值材料,S37999,理成定向18号投资基金,上海理成资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【理成定向18号投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海理成资产管理有限公司\S37999_理成定向18号投资基金
20200102,【聊塑投资对冲2号私募投资基金】,SX8920,聊塑投资对冲2号私募投资基金,上海聊塑资产管理中心（有限合伙）,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【聊塑投资对冲2号私募投资基金】,Z:\19_外包估值（新）\上海聊塑资产管理中心（有限合伙）\SX8920_聊塑投资对冲2号私募投资基金
20200102,【聊塑投资对冲5号私募投资基金】,SCL573,聊塑投资对冲5号私募投资基金,上海聊塑资产管理中心（有限合伙）,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【聊塑投资对冲5号私募投资基金】,Z:\19_外包估值（新）\上海聊塑资产管理中心（有限合伙）\SCL573_聊塑投资对冲5号私募投资基金
20200102,【六脉新动力1号私募投资基金】20191231开放估值材料,SEN059,六脉新动力1号私募投资基金,杭州华软新动力资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【六脉新动力1号私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州华软新动力资产管理有限公司\SEN059_六脉新动力1号私募投资基金
20200102,【六脉新动力2号指数增强组合私募证券投资基金】20191231开放估值材料,SEV387,六脉新动力2号指数增强组合私募证券投资基金,杭州华软新动力资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【六脉新动力2号指数增强组合私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州华软新动力资产管理有限公司\SEV387_六脉新动力2号指数增强组合私募证券投资基金
20200102,【洛书进取4号私募基金】20191231开放估值材料,SW3458,洛书进取4号私募基金,上海洛书投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【洛书进取4号私募基金】20191231开放估值材料,Z:\19_外包估值（新）\上海洛书投资管理有限公司\SW3458_洛书进取4号私募基金
20200102,【洛书融智景佑私募证券投资基金】20191231开放估值材料,SET616,洛书融智景佑私募证券投资基金,上海洛书投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【洛书融智景佑私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海洛书投资管理有限公司\SET616_洛书融智景佑私募证券投资基金
20200102,【麦策源禾CTA母基金1号私募证券投资基金】20191231开放估值材料,SX1231,麦策源禾CTA母基金1号私募证券投资基金,杭州拾禾投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【麦策源禾CTA母基金1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州拾禾投资管理有限公司\SX1231_麦策源禾CTA母基金1号私募证券投资基金
20200102,【平方和嘉享1号私募证券投资基金】20191231开放估值材料,SGZ576,平方和嘉享1号私募证券投资基金,宁波平方和投资管理合伙企业（有限合伙）,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【平方和嘉享1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\宁波平方和投资管理合伙企业（有限合伙）\SGZ576_平方和嘉享1号私募证券投资基金
20200102,【千象金选CTA1号私募证券投资基金】20191231开放估值材料,SGW952,千象金选CTA1号私募证券投资基金,上海千象资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【千象金选CTA1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海千象资产管理有限公司\SGW952_千象金选CTA1号私募证券投资基金
20200102,【青湖价值成长精选1号】20191231开放估值材料,SK8482,青湖价值成长精选1号基金,宁波青湖投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【青湖价值成长精选1号】20191231开放估值材料,Z:\19_外包估值（新）\宁波青湖投资管理有限公司\SK8482_青湖价值成长精选1号基金
20200102,【润合唐诚通宝2号私募投资基金】20200102开放估值材料,SCL411,润合唐诚通宝2号私募投资基金,北京润合资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【润合唐诚通宝2号私募投资基金】20200102开放估值材料,Z:\19_外包估值（新）\北京润合资产管理有限公司\SCL411_润合唐诚通宝2号私募投资基金
20200102,【申毅恒星稳健2号私募证券投资基金】20191231开放估值材料,T23608,申毅恒星稳健2号私募证券投资基金,上海申毅投资股份有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【申毅恒星稳健2号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海申毅投资股份有限公司\T23608_申毅恒星稳健2号私募证券投资基金
20200102,【思勰投资-思勰金选CTA1号私募证券投资基金】20191231开放估值材料,SGX083,思勰投资-思勰金选CTA1号私募证券投资基金,上海思勰投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【思勰投资-思勰金选CTA1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海思勰投资管理有限公司\SGX083_思勰投资-思勰金选CTA1号私募证券投资基金
20200102,【泰旸创新成长10号私募证券投资基金】20191231开放估值材料.pdf,SY3762,泰旸创新成长10号私募证券投资基金,上海泰旸资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【泰旸创新成长10号私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\上海泰旸资产管理有限公司\SY3762_泰旸创新成长10号私募证券投资基金
20200102,【天谷启航1期私募证券投资基金】20191231开放估值材料,SCU129,天谷启航1期私募证券投资基金,成都天谷投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【天谷启航1期私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\成都天谷投资管理有限公司\SCU129_天谷启航1期私募证券投资基金
20200102,【天谷启航2期私募证券投资基金】20191231开放估值材料,SCU145,天谷启航2期私募证券投资基金,成都天谷投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【天谷启航2期私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\成都天谷投资管理有限公司\SCU145_天谷启航2期私募证券投资基金
20200102,【图斯馨石私募证券投资基金】20191231开放估值材料.pdf,SES912,图斯馨石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【图斯馨石私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SES912_图斯馨石私募证券投资基金
20200102,【万柏强债1号私募证券投资基金】20200102开放估值材料,SGV895,万柏强债1号私募证券投资基金,万柏投资管理(北京)有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【万柏强债1号私募证券投资基金】20200102开放估值材料,Z:\19_外包估值（新）\万柏投资管理(北京)有限公司\SGV895_万柏强债1号私募证券投资基金
20200102,【未来舱５号】20191231开放估值材料,SJH236,未来舱5号私募证券投资基金,南京未来舱投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【未来舱５号】20191231开放估值材料,Z:\19_外包估值（新）\南京未来舱投资管理有限公司\SJH236_未来舱5号私募证券投资基金
20200102,【悟空四期】20200102开放估值材料,S26892,悟空对冲量化四期证券投资基金,深圳悟空投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【悟空四期】20200102开放估值材料,Z:\19_外包估值（新）\深圳悟空投资管理有限公司\S26892_悟空对冲量化四期证券投资基金
20200102,【新财道稳健增益2契约型私募基金】20191231开放估值材料.pdf,SR2618,新财道稳健增益2号契约型私募基金,浙江新财道投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【新财道稳健增益2契约型私募基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\浙江新财道投资管理有限公司\SR2618_新财道稳健增益2号契约型私募基金
20200102,【星辰之天演套利证券投资基金】20200102开放估值材料.pdf,SE6242,星辰之天演套利证券投资基金,北京天演资本管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【星辰之天演套利证券投资基金】20200102开放估值材料.pdf,Z:\19_外包估值（新）\北京天演资本管理有限公司\SE6242_星辰之天演套利证券投资基金
20200102,【野狼博弈冠军2号基金】20191231开放估值材料,S65431,野狼博弈冠军2号基金,北京浩鸿明凯投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【野狼博弈冠军2号基金】20191231开放估值材料,Z:\19_外包估值（新）\北京浩鸿明凯投资管理有限公司\S65431_野狼博弈冠军2号基金
20200102,【祎童源守正进取FOF1号私募证券投资基金】20191230开放估值材料,SGH922,祎童源守正进取FOF1号私募证券投资基金,天津祎童源资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【祎童源守正进取FOF1号私募证券投资基金】20191230开放估值材料,Z:\19_外包估值（新）\天津祎童源资产管理有限公司\SGH922_祎童源守正进取FOF1号私募证券投资基金
20200102,【逸杉3期私募证券投资基金】20191231开放估值材料.pdf,ST6398,逸杉3期私募证券投资基金,上海逸杉资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【逸杉3期私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\上海逸杉资产管理有限公司\ST6398_逸杉3期私募证券投资基金
20200102,【虞美人私募基金】20191231开放估值材料,SX8692,虞美人私募基金,成都火星资产管理中心（有限合伙）,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【虞美人私募基金】20191231开放估值材料,Z:\19_外包估值（新）\成都火星资产管理中心（有限合伙）\SX8692_虞美人私募基金
20200102,【正瀛智享1号私募证券投资基金】20191231开放估值材料,SEW153,正瀛智享1号私募证券投资基金,上海正瀛资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【正瀛智享1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海正瀛资产管理有限公司\SEW153_正瀛智享1号私募证券投资基金
20200102,【中金睿投丰融CTA金选1期私募证券投资基金】20191231开放估值材料,ST0247,中金睿投丰融CTA金选1期私募证券投资基金,金建睿投投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【中金睿投丰融CTA金选1期私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\金建睿投投资管理有限公司\ST0247_中金睿投丰融CTA金选1期私募证券投资基金
20200102,【中量投多策略进取私募证券投资基金】20191231开放估值材料,SES422,中量投多策略进取私募证券投资基金,中量投资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【中量投多策略进取私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\中量投资产管理有限公司\SES422_中量投多策略进取私募证券投资基金
20200102,【紫通车生物医药医疗健康1号私募基金】20191231开放估值材料,ST2206,紫通车生物医药医疗健康1号私募基金,深圳前海紫通车基金管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【紫通车生物医药医疗健康1号私募基金】20191231开放估值材料,Z:\19_外包估值（新）\深圳前海紫通车基金管理有限公司\ST2206_紫通车生物医药医疗健康1号私募基金
20200103,【斌诺金智1号私募证券投资基金】20191231开放估值材料,SX9599,斌诺金智1号私募证券投资基金,杭州斌诺资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200103\【斌诺金智1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州斌诺资产管理有限公司\SX9599_斌诺金智1号私募证券投资基金
